variable,category,count,pct
region_slug,xinjian,645,9.3262
region_slug,qingyunpu,637,9.2105
region_slug,changbei,600,8.6755
region_slug,xianghu,593,8.5743
region_slug,gaoxinkaifaqu,585,8.4586
region_slug,donghu,583,8.4297
region_slug,qingshanhu,578,8.3574
region_slug,xihu,575,8.3141
region_slug,wanli,573,8.2851
region_slug,nanchangxian,536,7.7501
region_slug,jinxian,469,6.7814
region_slug,honggutan,395,5.7114
region_slug,anyi,147,2.1255
house_layout_top10,3室2厅2卫,2840,41.0642
house_layout_top10,3室2厅1卫,2271,32.8369
house_layout_top10,4室2厅2卫,691,9.9913
house_layout_top10,2室2厅1卫,539,7.7935
house_layout_top10,3室1厅1卫,159,2.2990
house_layout_top10,2室1厅1卫,89,1.2869
house_layout_top10,4室2厅1卫,52,0.7519
house_layout_top10,4室2厅3卫,38,0.5495
house_layout_top10,3室0厅0卫,36,0.5205
house_layout_top10,5室2厅2卫,30,0.4338
house_certificate_years,2.0,3698,53.4702
house_certificate_years,5.0,2106,30.4511
house_certificate_years,0.0,1112,16.0787
price_segment,<60万,573,8.2851
price_segment,60-100万,1852,26.7785
price_segment,100-150万,3685,53.2822
price_segment,>150万,806,11.6541
