feature,count,mean,std,min,p25,median,p75,max,skewness
total_price_wan,6916,109.971953,34.850259,24.800000,88.000000,110.000000,130.000000,260.000000,0.262145
area_sqm,6916,109.489897,18.979052,51.110000,94.000000,108.725000,121.000000,182.000000,0.496872
room_count,6916,3.043522,0.529382,1.000000,3.000000,3.000000,3.000000,8.000000,0.906211
hall_count,6916,1.955610,0.273530,0.000000,2.000000,2.000000,2.000000,4.000000,-3.163056
bath_count,6916,1.546703,0.542338,0.000000,1.000000,2.000000,2.000000,7.000000,0.118861
total_floors,6916,20.974263,11.178234,0.000000,11.000000,20.000000,32.000000,54.000000,-0.131780
house_certificate_years,6916,2.591961,1.741772,0.000000,2.000000,2.000000,5.000000,5.000000,0.253934
poi_bank_count,6916,13.011857,5.256584,0.000000,10.000000,14.000000,17.000000,20.000000,-0.855261
poi_bus_count,6916,16.097744,2.347347,0.000000,15.000000,16.000000,18.000000,20.000000,-1.808640
poi_subway_count,6916,1.880278,2.028106,0.000000,0.000000,2.000000,3.000000,16.000000,1.250243
poi_school_count,6916,26.459659,10.212916,0.000000,19.000000,26.000000,33.000000,71.000000,0.727107
poi_restaurant_count,6916,16.125361,2.871716,0.000000,15.000000,17.000000,18.000000,20.000000,-1.375438
poi_shop_count,6916,16.146472,3.035262,0.000000,15.000000,17.000000,18.000000,20.000000,-1.608938
poi_hospital_count,6916,8.159630,4.900304,0.000000,5.000000,6.000000,12.000000,20.000000,0.491929
accessibility_index,6916,16.752053,2.260746,0.000000,15.636774,16.561715,18.031446,22.342814,-1.379913
poi_balance_score,6916,0.890882,0.065263,-0.000000,0.865559,0.899583,0.928471,0.977916,-5.723777
