model_name,mae_mean,mae_std,mae_min,mae_max,r2_mean,rank_mean,best_count,n_seeds
stacking_ridge,20.575478334715392,0.24315421182795025,20.20520088810113,20.852870593145585,0.31478527143761786,1.2,4,5
two_stage_residual,21.184465660469346,0.6158640746131583,20.41957944835916,21.85027914555396,0.27733552228666697,2.2,1,5
catboost,21.51209508642532,0.31096529061927525,21.02427777429878,21.795344217921503,0.26650374329146115,2.6,0,5
hist_gradient_boosting,21.989949737457263,0.0,21.989949737457263,21.989949737457263,0.21917656466162388,4.6,0,5
lightgbm,22.239488083851658,0.36524312912286816,21.86119897776148,22.6889463355961,0.22205329283746483,5.2,0,5
blend_top3,22.33327823096294,0.3384074899687058,21.908264839671794,22.74406585679147,0.21478724426475618,5.8,0,5
xgboost,22.580745894127965,0.23119559834516876,22.1959306886553,22.81637559892126,0.20026877251614805,6.4,0,5
ridge,23.12511949959575,0.0,23.12511949959575,23.12511949959575,0.1332853080511152,8.0,0,5
gradient_boosting,23.962312528975055,0.011949657156311359,23.949448830714207,23.973613069184797,0.1074037451463578,9.0,0,5
random_forest,24.36164687104253,0.06472464592001095,24.302177772459547,24.452896070696525,0.0538658841276321,10.0,0,5
mean_baseline,27.069291547108598,0.0,27.0692915471086,27.0692915471086,-0.1525483036052115,11.0,0,5
lasso,28.084181639256435,0.0,28.084181639256435,28.084181639256435,-0.2151409592682645,12.0,0,5
