label,rule_positive_rate,llm_positive_rate,agreement,cohens_kappa,both_one,rule_only,llm_only,both_zero,disagreement_rate
below_market,0.000000,0.002521,0.997479,0.000000,0,0,18,7122,0.002521
board_building,0.003641,0.005042,0.998039,0.773235,24,2,12,7102,0.001961
bus_hub,0.151681,0.000000,0.848319,0.000000,0,1083,0,6057,0.151681
direct_seller,0.004202,0.022829,0.979972,0.253771,25,5,138,6972,0.020028
double_bath,0.220448,0.297759,0.723810,0.286194,864,710,1262,4304,0.276190
duplex,0.004482,0.006443,0.994678,0.510231,20,12,26,7082,0.005322
elevator,0.401961,0.250840,0.839356,0.643919,1757,1113,34,4236,0.160644
furnished,0.075910,0.057703,0.960504,0.683661,336,206,76,6522,0.039496
garage,0.069188,0.052801,0.956162,0.617748,279,215,98,6548,0.043838
garden,0.088095,0.035294,0.940196,0.489601,227,402,25,6486,0.059804
good_floor,0.327591,0.156723,0.819608,0.527314,1085,1254,34,4767,0.180392
good_lighting,0.564426,0.337675,0.734874,0.491039,2274,1756,137,2973,0.265126
high_floor_view,0.106303,0.079132,0.935574,0.617902,432,327,133,6248,0.064426
low_density,0.068627,0.041737,0.958824,0.606477,247,243,51,6599,0.041176
luxury_decor,0.308824,0.195798,0.860084,0.635339,1302,903,96,4839,0.139916
new_community,0.192717,0.185434,0.832213,0.452889,751,625,573,5191,0.167787
old_community,0.000000,0.032213,0.967787,0.000000,0,0,230,6910,0.032213
park_nearby,0.048880,0.035994,0.967507,0.600603,187,162,70,6721,0.032493
price_negotiable,0.014706,0.015826,0.988515,0.618030,68,37,45,6990,0.011485
quality_community,0.007703,0.104762,0.896218,0.063775,31,24,717,6368,0.103782
river_view,0.010644,0.059384,0.943697,0.181219,49,27,375,6689,0.056303
rough,0.005602,0.003782,0.997059,0.685146,23,17,4,7096,0.002941
school_district,0.000000,0.022969,0.977031,0.000000,0,0,164,6976,0.022969
school_nearby,0.000840,0.023810,0.976471,0.043902,4,2,166,6968,0.023529
shopping,0.235994,0.144678,0.819608,0.422534,715,970,318,5137,0.180392
simple_decor,0.000420,0.002101,0.997759,0.110488,1,2,14,7123,0.002241
sincere,0.028151,0.026471,0.988235,0.778574,153,48,36,6903,0.011765
subway,0.299160,0.206443,0.891877,0.717017,1419,717,55,4949,0.108123
urgent_sale,0.035714,0.029132,0.983333,0.734460,172,83,36,6849,0.016667
