comparison,mae_diff,t_p,wilcoxon_p,t_p_holm,wilcoxon_p_holm,significant_0.05
stacking_ridge vs two_stage_residual,0.07399740960688561,0.7276173271926327,0.0413843926892659,0.8207683184331885,0.0827687853785318,False
stacking_ridge vs catboost,-0.9103036540232985,5.102056943418599e-08,2.341372840314109e-09,4.081645554734879e-07,1.6389609882198762e-08,True
stacking_ridge vs hist_gradient_boosting,-1.496372879491222,1.880704313949471e-15,2.5195158412025407e-15,2.0687747453444184e-14,2.7714674253227948e-14,True
stacking_ridge vs lightgbm,-1.3676221197954348,1.5034337047373254e-25,2.2039601811865676e-25,2.255150557105988e-24,3.3059402717798516e-24,True
stacking_ridge vs xgboost,-2.099264976531856,2.268770791900442e-23,1.5172058683894973e-22,3.1762791086606186e-22,2.124088215745296e-21,True
two_stage_residual vs catboost,-0.9843010636301841,1.450375233150144e-05,1.7230548272114643e-09,0.00010152626632051008,1.3784438617691715e-08,True
two_stage_residual vs hist_gradient_boosting,-1.5703702890981077,3.124774617789011e-11,1.2441747600673466e-13,3.1247746177890107e-10,1.119757284060612e-12,True
two_stage_residual vs lightgbm,-1.4416195294023204,7.358911998758987e-11,6.088393143622137e-14,6.623020798883088e-10,6.088393143622136e-13,True
two_stage_residual vs xgboost,-2.1732623861387417,1.930762131676552e-16,5.174093184382394e-19,2.3169145580118622e-15,6.208911821258873e-18,True
catboost vs hist_gradient_boosting,-0.5860692254679236,0.0052302170361462836,0.002949347006144007,0.020920868144585134,0.011797388024576028,True
catboost vs lightgbm,-0.4573184657721363,0.013570533971044617,0.014135968023380723,0.04071160191313385,0.042407904070142166,True
catboost vs xgboost,-1.1889613225085576,1.0272542962242073e-17,5.37084917457243e-20,1.3354305850914695e-16,6.982103926944159e-19,True
hist_gradient_boosting vs lightgbm,0.1287507596957873,0.41038415921659427,0.4748569028655477,0.8207683184331885,0.4748569028655477,False
hist_gradient_boosting vs xgboost,-0.602892097040634,0.0036461198440542984,0.0011911560987783408,0.018230599220271492,0.005955780493891704,True
lightgbm vs xgboost,-0.7316428567364213,8.495207938971714e-05,1.2596401000162636e-06,0.0005097124763383028,7.557840600097581e-06,True
